Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TotalScore
0x489863b61c625a15c74fb4c21486bacb4a3937ab,0,0,10,0,0,10,10,10,0,0,0,0,0,0,10,50
0x2f30c18491435cb8bf24047d3398167ac327f750,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0xdc01ea5b6b48187f5aa1e422e90dc01d03217b76,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,150,0,10,0,10,10,10,10,0,0,0,0,0,0,10,210
0x4f41877773e44f2275da1942fee898556821bf66,50,0,0,0,0,10,10,10,0,0,0,0,0,0,10,90
0xb7abf554aefd4686639afcf2a653adfda3d9b038,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0xd23199f1222c418ffc74c385171330b21b16e452,150,0,10,0,10,10,10,10,10,10,10,0,0,0,10,250
0xdab0d648a2a771e6952916a822dddf738b535f5a,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,150,0,10,0,0,10,10,10,0,0,0,0,0,0,10,200
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,150,0,0,0,0,10,10,10,10,10,10,0,0,0,10,210
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,150,0,0,0,10,10,10,10,10,10,10,0,0,0,10,220
0x7899d9b1181cbb427b0b1be0684c096c260f7474,50,0,10,0,0,10,10,10,0,0,0,0,0,0,10,110
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,150,0,10,0,0,10,10,10,10,10,10,0,0,0,10,220
0x94db037207f6fb697dbd33524aadffd108819dc8,50,0,10,0,0,10,10,10,0,0,0,0,0,0,10,100
