Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,GRDonations,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TrustedSeedMember,GivethActivity,TotalScore
0xDD6483d981eD6E8AD739Cac7E51CFaB6Eb85e34a,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,1,false,false,300
0x12641aE0E159c560A6d6731feAC64CC494e1d140,false,false,10.20,6,false,0,1,1,1,false,false,false,false,false,false,false,291,false,false,1310
0xEA080F268D478da08F95C174374e4f0B374044a5,false,false,0.00,0,false,0,1,0,1,false,false,false,false,false,false,false,127612,false,false,710
0x3B9d2F1d0D9934F31Ea294ae916C155B93F417C6,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,1,false,false,300
0x64b7a7aE5b9Fafd8cB20F57c77b1A050aF49DB10,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,3,false,false,300
0x074a9eD58d11e3f0f589072c99dE86F80971A844,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,328484,false,false,300
0xB8FF877ed78Ba520Ece21B1de7843A8a57cA47Cb,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,4204524,false,false,300
0x8CFc4459394801D2EA78F9cEeB31a7f58B8CdDDe,false,false,2723.69,0,false,0,2,0,1,false,false,false,false,false,false,false,299656,false,false,710
0xBb37CA7128A6eD57557C31013900BF978211BFD4,false,false,61.28,0,false,3,2,1,1,false,false,false,false,false,false,false,266,false,false,1510
0x2539ffc9DeD82926A5AAEe065E800C7d1DE02454,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,509956,false,false,300
0xA35c949f8dFa0987FB7009683Ed4B27F3763EE87,false,false,9.87,6,false,0,1,1,1,false,false,false,false,false,false,false,287,false,false,1310
0x4399fa85585F90DA110d5BA150fF96C763bc0Aba,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,470043,false,false,300
0x152474f670E46182cA00dc4D7294E9D453f18317,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,33,false,false,300
0xa3F67B69cCaB3D32dB3C3539d49d169F7F252ee7,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,11,false,false,300
0xc5a53b78734284D683d623C5C06D2e646abCec3f,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,66367,false,false,300
0xdE9a7241a13A83e7cc5039aaa684DB0aFb7EB0Dc,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,85,false,false,300
0x850588b10E90cbC51eD6F28427e5f841194F8590,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,40,false,false,310
0xE4eDb277e41dc89aB076a1F049f4a3EfA700bCE8,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,170032,false,false,100
0x88eaCcc16E9E9D889327C86Bed6732E00ce01750,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,7,false,false,300
0x2a11e2035a1116e345D2d8c69202F7ABefACE5FF,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,1,false,false,100
0x56E5c18D8249d2A4eD74b1c7718D9327dDE1cC68,false,false,false,0,false,6,0,0,1,false,false,false,false,false,false,false,148,false,false,600
0x5DDf785Ea1911B6A7D0Cb2a5D97f5364efCb05d8,false,false,84.28,0,false,0,0,0,1,false,false,false,false,false,false,false,97,false,false,310
0x60c92305cE125B440Ef97439F26396f2F3bEff48,false,false,110.98,21,false,2,1,0,1,false,false,false,false,false,false,false,685,false,false,1110
0xdA8049e0492fD28cEC24267C02F773F0e99E4b88,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,470466,false,false,300
0x424683888Bc33389c1bc830fBBFF5bc9bC07A36B,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,4,false,false,300
0x685Ee51518320A6625fA2BB523b2eAb385df68b3,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,85625,false,false,300
0x8A6a17F1A3DA0F407A67BF8E076Ed7F678D85f29,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,684,false,false,300
0xe4633575FBd4Fa10C36Bd7Dc24bAb7775b0ADad4,false,false,0.24,0,false,0,0,0,1,false,false,false,false,false,false,false,58,false,false,310
0x9FdDF8fE316f75e978c5dA979144DfF0590968aF,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,17,false,false,300
0xf22fe95e4bf11Bf8426271f7A644ed1f88D9E0A8,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,5,false,false,300
0x822155cD1299f091F0ec88e77D970E84db273189,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,69,false,false,300
0x61b6a85e524D4B633F81738063833Dc065d4F40B,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,20,false,false,300
0x8775176d59002A89B7F9358A26C578F83FbA9caf,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,13,false,false,300
0xd3f160E76b46593E8c62E6e6F57a1a7ab1CF45D1,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,7,false,false,300
0x7bB67731E1dc56D75beB2d93d52851bb39b6d833,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,3,false,false,300
0x80C67432656d59144cEFf962E8fAF8926599bCF8,false,false,44.94,0,false,10,1,0,false,false,false,false,false,false,false,false,377573,false,false,810
0x73Fa41c01077fE85ed557125848c509b013272E0,false,false,6.49,0,false,1,1,0,1,false,false,false,false,false,false,false,165,false,false,1010
0xFcAb105F670509866592DBe810B01f23eC6168ef,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,13,false,false,300
0x39Fd396a35EA9FB1Cf35Ba15062Da8AD19d9ec77,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,44,false,false,300
0x785BcE358E1D65eaE596455F51349257FC278F38,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,495944,false,false,300
0xd2085f9C9Cc7698133462F2933E03D219a923478,false,false,4.85,0,false,0,0,0,1,false,false,false,false,false,false,false,27,false,false,310
0x789e99657ceC90D1b1facCf9Ee5D63eD17470F83,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,4,false,false,300
0x0eC8C155bA8f5AdC4F208e1884f8E09DdbC0BD80,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,72724,false,false,700
0x6aef9642aa23002D0ca110a305b0497412dA2853,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,19,false,false,300
0x202960E999A751Fb6d7b8ED18a81a5E5BfFD1182,false,false,1.35,0,false,0,0,0,1,false,false,false,false,false,false,false,6,false,false,310
0xb9DCE4552F39901c2EF5957726aC541699d7764D,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,264,false,false,700
0xe280B552A5cd0067d91F6cDB4060F678b460cE63,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,276,false,false,700
0x3c1d7D7D47eE3201eAF0910B67222A5c8A1443ff,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,10,false,false,300
0xdD0955D12962044D427753F6C9b6C241d2A7D965,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,18563,false,false,300
0x2bdF9249c350C68a43a9714c1b9153af54751b1C,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,368315,false,false,700
0x87700B152DbbB59ce7F6176c2E7fe578Ba0aB51E,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,9600,false,false,100
0x0aAe1332e2a590bdc66f5b726FEB1D74e39DEa5a,false,false,0.69,0,false,0,0,0,1,false,false,false,false,false,false,false,60,false,false,310
0x5c409D5a26b4d04b6838C466fDF152E2CF079a19,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,210,false,false,700
0xABAdbeD9EE3839304fEB849f41e7D1359ce6c5D3,false,false,102.31,0,false,0,1,0,1,false,false,false,false,false,false,false,350,false,false,710
0x5602b566BEcde9DC58867eA51beCC0D9805e15Eb,false,false,0.10,0,false,0,0,1,1,false,false,false,false,false,false,false,31,false,false,810
0x5993f025fdAEa9D27209F181228a1b91aD447F38,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,10,false,false,300
0xEb07070B5B87a07278ca99F132FA5E304fc2E074,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,5296,false,false,700
0xb3c506D60D45Abb917eE10a947749a098b497D3D,false,false,9.42,0,false,0,2,0,1,false,false,false,false,false,false,false,36090,false,false,710
0x661B7Acca8ebd93AFd349a088e9a9A00053DB1BF,false,false,14.29,0,false,0,0,0,1,false,false,false,false,false,false,false,464927,false,false,310
0x8d21D34fa0fA590b6D8b8f3DD4eB531F973ABA5c,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x0C2952f474D50F8F9764d0537E0f531A316E7286,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x491E59c255C790D4e3a53CEC2632524088f1aaA4,false,false,false,0,false,0,1,0,1,false,false,false,false,false,false,false,370454,false,false,700
0x12854790C3509a4AD730Ebc4a61A691347c41695,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0xef8e3aD8F08929805B61b221Ea49f9e9A04e9553,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x9e7a59B3124A482E9f046c00910d22D62c21B272,false,false,0.00,0,false,0,1,0,1,false,false,false,false,false,false,false,128539,false,false,710
0x21f90Bd3A9E1FD8Ffd5a6cF7A8C29254d0Eb79aF,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x3c9d750FAB479C2218a17e516CCe9A55b227Cb2A,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x67799576403b6FdFe47751167318ea1A78fC2038,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,29154,false,false,300
0x0d527383AA9c3c7B39c61356534F3Fdc56Ee1eb3,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0xE48bB442014FAd1ef67fb94B2171e1f6149bc1f4,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,18006,false,false,300
0x02E76Ca155EF710DDf846bD8C8192A7d2e91D9Cf,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x08FB419098450E49eFF322081C4dB324cf87cBFE,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x74D2eD497F17a620e758d3797A978264611907F7,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x013c97481f4bc30CE86C3649C63EcbAFE77b28B2,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x44a8c92b0FB8ED1903e7C719a3bA4950B6f6327a,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0xd972683d7b4Ca8c88c088Cf96022abB4Ad1dD164,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,2,false,false,300
0xB8FF877ed78Ba520Ece21B1de7843A8a57cA47Cb,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,4204594,false,false,300
0x6faf538631F4521457eD761b6020beFd764867dD,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,7,false,false,300
0x57014Ee84cecB5d58e1D94F73680936c9cc4a785,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0xECE70AbF2499E2C93AFae1b2093AdC7817756c33,false,false,0.00,0,false,0,1,0,1,false,false,false,false,false,false,false,126183,false,false,710
0x1234567be29e35585C02b48d8eC04B2b8F4f8048,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
0x2345678A1f4687FD76cdDb2D389Ab6B4Ac69072C,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,false,false,false,0
