Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TotalScore
0x7944FC7Bd79B25E6fFe24921d88A1f36f22bE843,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xc7b2f15b62F186DCc69F35CD9Ae833f6de6146ab,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x27c72e4BD23C910218d8f06C4a1742E06657c874,1,false,1080.68,false,0,1,0,1,false,false,false,false,false,false,false,2,640
0x44DdF3e35Cd2D629d78674FF6BF5b953e2B069fe,1,false,1190.27,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xA0f780d46F103DB59Cfc5ffeC8B25FfD36940EA7,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x8Aac40061E258d6e45Fd13E214710ABDF356285a,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x01891b6583cf33E177c68157c6972E9847487904,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x85f9c38a44EfB45CeF47cBf510e6e18cDdf2a78A,1,false,727.90,false,1,1,0,1,false,false,false,false,false,false,false,2,650
0xCF0FA79c915F12592c352FFe35000fda5c96a158,1,false,555.93,false,0,0,0,1,false,false,false,false,false,false,false,1,240
0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A,1,false,false,false,0,0,0,1,1,1,false,false,false,false,false,12,240
0xb9313E2cA88363f253312BD8Fc25eFe0C5D42c95,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x8De127aFabA3EC4BcCf5D91bBB68091B5F10954f,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xCb5Fba4419ABC4D7C11af0C24BA0F2e555407F5b,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x489aDd7680605f6Fc4806595CD75E65D7F1675Eb,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,20
0xfB2e9D1C95dcd5665eE230352d9973263f822F8a,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,20
0x301605C95acbED7A1fD9C2c0DeEe964e2AFBd0C3,1,false,false,false,0,1,0,1,false,false,false,false,1,false,5,35,760
0x1dF428833f2C9FB1eF098754e5D710432450d706,1,14379.16,9.58,false,1,1,0,1,false,1,false,false,false,52.89,1,41,710
0xF23eA0b5F14afcbe532A1df273F7B233EBe41C78,false,0.50,false,false,1,0,0,1,false,1,1,false,false,false,false,17,90
0xc6b0a4c5BA85d082eCd4Fb05FBF63eb92AC1083a,1,false,827.76,false,1,1,0,1,false,false,false,false,false,false,false,1,650
0x2fe25372a45D024adE1aDEb9dcE29e4DA1368B35,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x5acbeb30Fde4049A8FC928F562D9cE5FDAD59D32,1,false,734.95,false,0,1,0,1,false,false,false,false,false,false,false,5,650
0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,1,false,3322.04,false,1,1,0,1,false,1,1,false,false,false,1,85,690
0x1210Ba92EB82Cc256213C78F0eF9D5212c7034a9,false,false,false,false,0,0,0,1,false,false,false,false,false,13.21,false,1,40
0x826976d7C600d45FB8287CA1d7c76FC8eb732030,1,14573.65,false,false,1,1,0,1,1,1,1,false,false,0.00,1,57,710
0x2Ce202Ad36aDb3B7515D2E6ec1395F55298DC230,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x864f2c20F55d7b6E80e65332C372C855a67be451,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x6543c99d0e073c140Fd08A741c6cfdcd1449da94,1,false,1096.64,false,0,1,0,1,false,false,false,false,false,false,false,10,650
0x6d3b98452C8F2Dffa0487cE6C66CA3cc3aB01308,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,1,15598.93,444.04,false,0,1,1,1,false,false,false,false,1,false,1,23,1190
0xB20A327C9b4Da091f454B1Ce0E2e4DC5C128b5B4,1,false,56.29,false,1,1,0,1,false,false,false,false,false,false,false,4,650
0x83E57888cd55C3ea1cfbf0114C963564d81e318d,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x8758E5741dE847363dD2715a62431cc0cBda4cA6,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,20
0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,false,false,false,false,0,0,0,false,false,1,false,false,false,false,false,false,20
0xeFb49ddB9511180aeEfd78Da68eA4977Fe02B0Cb,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x39c00e3584A2176F55bB31BDc3450889927F5016,false,15132.17,false,false,0,0,0,false,false,false,false,false,false,36.20,false,false,40
0xE64F06F695De4C4E21BA8F383a2675Fd884Ac720,1,false,false,false,0,0,0,1,false,false,false,false,false,false,false,3,240
0x662ec70531509dF61C8C8e44650c203f0Ab79466,1,0.40,555.93,false,0,1,0,false,false,false,false,false,false,false,2,false,680
0x882FD033EeD73Fc184e4a340654190c5a342E984,1,false,555.93,false,1,1,0,false,false,false,false,false,false,false,false,false,630
0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,1,false,319.25,false,0,1,0,1,false,false,false,false,1,8.91,2,45,720
0xa32aECda752cF4EF89956e83d60C04835d4FA867,1,false,12.99,false,0,0,0,1,1,1,1,false,false,22.05,false,63,280
0x5A227E2919A49f9d4698e9fd2B318EfCd0f16Bda,false,false,false,false,0,0,0,1,false,false,false,false,false,15.20,false,2,50
0x94860EA6872d863E91f3Ce3f8cF574Ef0859620b,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xc89eD88B54fD663b86FFd76f6AD2cDA09d2cE13c,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x9384EB57f892CCE158c9Ad5446d815Cc7584d42B,1,false,1559.99,false,0,1,0,1,false,false,false,false,false,false,false,2,640
0x2920620b47D51170319A531A2D6D5810610E8C2A,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xD602D991dc99f6632C9F1E587D93c3c8cE7220B6,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x6F4A8930Ef9C175eC0F3F63A97686d5c505e0E32,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xD3F8A83DD0F5C873be0973dbD67Bf0d441aE49d0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x8a8fd287f9C0D69c8D749b32e10a1e0A96dedCf3,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xF0a3b6DaAc28a0fCe094f2Cf264e040373d86F3F,1,false,681.26,false,0,1,0,false,false,false,false,false,false,false,false,1,630
0x28499c2115299BeFf0c07Fe7574CE7222d891c76,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x79dE94216395eAFe072B8B50216b5648eDb3f609,1,false,827.76,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xf592eE0E3a20Ddd65882E0fE6bFBB4B465A98Ae4,false,1196.47,false,false,0,0,0,1,false,false,false,false,false,false,false,23,40
0xdD505DA2e2A8017f38a715948c6b6A2922ba27f0,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xdC0046B52e2E38AEe2271B6171ebb65cCD337518,1,false,false,false,0,1,1,1,false,false,false,false,1,41.41,false,15,1170
0xe0144FA05A0d32B5B1De10CcEe7211616B3E3EF0,1,false,239.15,false,0,1,0,1,false,false,false,false,false,24.87,false,34,670
0xADB620Ec86EEb3570cc142Bbc4b5556886Cd259B,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x05D9EEa07cF58F6eD205e4B5CA59a1C98114C459,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x72E1638bD8cD371Bfb04cF665b749A0E4ae38324,1,false,false,false,1,1,0,1,false,1,false,false,1,0.00,2,73,710
0x80FE61720fE2BB8B54b028f037189De0b13aa50b,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,640
0xac446dD360716ACef4E930612dCb1f652A98d750,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xeC8F0E5dE4B6C59Ff3641FD071dc783f146DcA06,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xa444987a5D2C45150399c5Cec0c8Bf719A6Dea3e,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x88B353202e61fffeF56bbfbc2748839e7C707e9F,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xf780eE9f9e50248E7F8433a132a4b0b00B3dA313,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xB24F31BC22338ff0425F2E16c4902A8Aa307807d,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x7F93e58A999D85879C2F051619F6879ba771f2Bf,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x2fEe53687906bA239602eD42CCEee2aC8A4ADa36,false,false,false,false,0,0,0,false,false,false,false,false,1,15.48,false,false,50
0x29A31e68a5c3b052Ac04A663f1e60a2cf184FF53,1,false,2.00,false,1,1,1,1,false,false,false,false,1,false,false,40,1160
0x2982e755b58DBbB1dF8240748F8976Eb0cd8a3B5,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,20
0xe23e317463FAC259700D95572ee3417Ccbb3cb8C,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xc131afE6dBD5a71f16D8B292f0B4Ae1aA200DA3f,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x0f5BD2404EbB70410462C22CAcB062cD285BfC52,1,false,827.76,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0xEFde6a97AF618AD407211C3D5d494BC257948208,1,false,16.50,false,1,1,1,1,false,false,false,false,false,false,false,175,1160
0x35eEa403F9577CDD7D169833122e25b008326806,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x8289432ACD5EB0214B1C2526A5EDB480Aa06A9ab,1,false,4195.18,false,1,1,1,1,1,1,1,false,false,false,1,46,1210
0xaD2DCb058f10B4e11611F9c1fC0aA1A532E270D6,1,false,827.76,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x7d990c17573b9Fe410767723080fcb1734Ff7D5B,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x1dC96F305645b5Ac12dDa5151eB6704677C7dB12,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0x40Dc654af5cE40C122ffDC679fa8E8ca8b91556A,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,20
0xf8A798764a7c12e031B05C0F4aCde7A950eF71A0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xED23B82A6b1b0d2e75b87c01B0FDc7fCfb49f456,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xc7D0Fd6DD83955B027f0f038c861D7D031c59785,1,false,90.15,false,0,1,0,1,false,false,false,false,false,false,false,6,650
0xB2d60143097b4F992BfBE955a22dbb2AcD9a8EAb,1,false,2172.69,false,0,1,0,1,false,false,false,false,false,false,1,6,680
0x17a7E7F6A493d137E84B4420575527f6Ef725F8C,1,false,false,false,1,1,0,1,false,false,false,false,false,false,false,34,640
0x7D678b9218aC289e0C9F18c82F546c988BfE3022,1,false,60.11,false,0,1,0,1,false,false,false,false,false,false,1,9,660
0x196213afd9905777e7D0582E8eDD4cf6870AA1D4,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x6636A1CCBdf54485067304C1a590DE016DeaD9F0,1,false,false,false,0,0,0,1,false,false,false,false,false,false,false,5,230
0x1308D923E02c38492962D75C26e487ffCdCe821C,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xeebc0fF65BaEaFBd971fF01b0E28aabD379936Ad,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x3EB717F284Ea6ef65B9d770694bBC6C7E1b1DD84,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x02317BB3f16cE21e9239C217B21Bd18Aa24ab0D3,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x5b0F8D8f47E3fDF7eE1c337AbCA19dBba98524e6,false,false,false,false,0,0,0,false,false,1,false,false,false,false,false,false,20
0x56E9cbe44e612AaD90737fcD911c4756423c533a,1,false,1462.10,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0xdBf4C24BCe4896A2Ea14Ce1e84C5245217E60FA8,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x9dE0c4bcC1FB8fAaB56Aa04C2E18fB3D8B694bBb,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x63A32F1595a68E811496D820680B74A5ccA303c5,1,false,733.54,false,1,1,0,1,false,false,false,false,false,false,false,7,670
0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,false,false,false,false,1,0,0,1,false,false,false,false,false,false,false,15,40
0xfbcd4a6c3Ce9388C079d3D4B2c0FB0766E90604e,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,1,false,728.61,false,1,1,0,1,false,1,false,false,false,false,2,37,720
0xf9EC80A5d637Ff06F14d829f6AdDCa3147A3F691,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x34aA3F359A9D614239015126635CE7732c18fDF3,1,false,990.00,false,10,1,0,1,1,1,1,false,1,false,false,684,690
0x874b3e815B02D3DCD5008FDEE96127c16292Ba1f,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x57F540a736a647EF2d2Ef9Cd823C4a4e655858a4,false,false,false,false,0,0,0,false,false,false,false,false,false,false,1,false,40
0x4194cE73AC3FBBeCE8fFa878c2B5A8C90333E724,1,false,827.76,false,0,1,0,1,false,false,false,false,false,false,false,4,660
0x8B580433568E521ad351b92b98150c0C65ce69B7,1,false,1190.27,false,0,1,0,1,false,false,false,false,1,false,false,7,650
0x38f80f8f76B1C44B2beeFB63bb561F570fb6ddB6,false,false,false,false,0,0,0,1,false,1,1,false,false,14.48,1,3,90
0x9F082e184259D2F7089DF5CED36679BB88bfe123,1,false,1.99,false,1,1,0,1,false,false,false,false,false,false,false,21,660
0xf9299c8663D195481cd54b6F7e32bb45aD1C9a2b,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x69E3c9f8A735DDCccFBAd2Dabde9963d55202988,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
